title,author,description,series_details,genres,avg_rating,num_ratings,num_reviews,pages_format,publication_info
Our Share of Night,"['Megan McDowell', 'Pablo Gerardo Camacho', 'Mariana Enríquez']","A woman’s mysterious death puts her husband and son on a collision course with her demonic family.A young father and son set out on a road trip, devastated by the death of the wife and mother they both loved. United in grief, the pair travel to her ancestral home, where they must confront the terrifying legacy she has bequeathed: a family called the Order that commits unspeakable acts in search of immortality.For Gaspar, the son, this maniacal cult is his destiny. As the Order tries to pull him into their evil, he and his father take flight, attempting to outrun a powerful clan that will do anything to ensure its own survival. But how far will Gaspar’s father go to protect his child? And can anyone escape their fate?Moving back and forth in time, from London in the swinging 1960s to the brutal years of Argentina’s military dictatorship and its turbulent aftermath, Our Share of Night is a novel like no other: a family story, a ghost story, a story of the occult and the supernatural, a book about the complexities of love and longing with queer subplots and themes. This is the masterwork of one of Latin America’s most original novelists, “a mesmerizing writer,” says Dave Eggers, “who demands to be read.”",,"['Horror', 'Fiction', 'Fantasy', 'Historical Fiction', 'LGBT', 'Queer', 'Adult']",4.31,31195,6254,"588 pages, Hardcover","First published November 27, 2019"
Lone Women,['Victor LaValle'],"Blue skies, empty land—and enough wide-open space to hide a horrifying secret. A woman with a past, a mysterious trunk, a town on the edge of nowhere, and an “absorbing, powerful” ( BuzzFeed ) new vision of the American West, from the award-winning author of The Changeling .Adelaide Henry carries an enormous steamer trunk with her wherever she goes. It’s locked at all times. Because when the trunk opens, people around Adelaide start to disappear.The year is 1915, and Adelaide is in trouble. Her secret sin killed her parents, forcing her to flee California in a hellfire rush and make her way to Montana as a homesteader. Dragging the trunk with her at every stop, she will become one of the “lone women” taking advantage of the government’s offer of free land for those who can tame it—except that Adelaide isn’t alone. And the secret she’s tried so desperately to lock away might be the only thing that will help her survive the harsh territory.Crafted by a modern master of magical suspense, Lone Women blends shimmering prose, an unforgettable cast of adventurers who find horror and sisterhood in a brutal landscape, and a portrait of early-twentieth-century America like you’ve never seen. And at its heart is the gripping story of a woman desperate to bury her past—or redeem it.",,"['Horror', 'Historical Fiction', 'Fiction', 'Fantasy', 'Historical', 'Westerns', 'Mystery']",3.73,22439,4289,"285 pages, Hardcover","First published March 28, 2023"
Black Sheep,['Rachel   Harrison'],"A cynical twentysomething must confront her unconventional family’s dark secrets in this fiery, irreverent horror novel from the author of Such Sharp Teeth and Cackle. Nobody has a “normal” family, but Vesper Wright’s is truly...something else. Vesper left home at eighteen and never looked back—mostly because she was told that leaving the staunchly religious community she grew up in meant she couldn’t return. But then an envelope arrives on her doorstep.  Inside is an invitation to the wedding of Vesper’s beloved cousin Rosie. It’s to be hosted at the family farm. Have they made an exception to the rule? It wouldn’t be the first time Vesper’s been given special treatment. Is the invite a sweet gesture? An olive branch? A trap? Doesn’t matter. Something inside her insists she go to the wedding. Even if it means returning to the toxic environment she escaped. Even if it means reuniting with her mother, Constance, a former horror film star and forever ice queen. When Vesper’s homecoming exhumes a terrifying secret, she’s forced to reckon with her family’s beliefs and her own crisis of faith in this deliciously sinister novel that explores the way family ties can bind us as we struggle to find our place in the world.",,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Adult', 'Contemporary', 'Audiobook']",3.64,11510,2366,"289 pages, Hardcover","First published September 19, 2023"
Mister Magic,['Kiersten White'],"Who is Mister Magic? Former child stars reunite to uncover the tragedy that ended their show—and discover the secret of its enigmatic host—in this dark supernatural thriller from the #1 New York Times bestselling author of Hide.Thirty years after a tragic accident shut down production of the classic children’s program Mister Magic, the five surviving cast members have done their best to move on. But just as generations of cultishly devoted fans still cling to the lessons they learned from the show, the cast, known as the Circle of Friends, have spent their lives searching for the happiness they felt while they were on it. The friendship. The feeling of belonging. And the protection of Mister Magic. But with no surviving video of the show, no evidence of who directed or produced it, and no records of who—or what—the beloved host actually was, memories are all the former Circle of Friends has. Then a twist of fate brings the castmates back together at the remote desert filming compound that feels like it’s been waiting for them all this time. Even though they haven’t seen each other for years, they understand one another better than anyone has since. After all, they’re the only ones who hold the secret of that circle, the mystery of the magic man in his infinitely black cape, and, maybe, the answers to what really happened on that deadly last day. But as the Circle of Friends reclaim parts of their past, they begin to wonder: Are they here by choice, or have they been lured into a trap? Because magic never forgets the taste of your friendship. . . .",,"['Horror', 'Fiction', 'Mystery', 'Thriller', 'Adult', 'Fantasy', 'Audiobook']",3.61,13272,3206,"295 pages, Hardcover","First published August 8, 2023"
Don't Fear the Reaper,['Stephen Graham Jones'],"December 12th, 2019, Jade returns to the rural lake town of Proofrock the same day as convicted Indigenous serial killer Dark Mill South escapes into town to complete his revenge killings, in this riveting sequel to My Heart Is a Chainsaw from New York Times bestselling author Stephen Graham Jones.Four years after her tumultuous senior year, Jade Daniels is released from prison right before Christmas when her conviction is overturned. But life beyond bars takes a dangerous turn as soon as she returns to Proofrock. Convicted Serial Killer, Dark Mill South, seeking revenge for thirty-eight Dakota men hanged in 1862, escapes from his prison transfer due to a blizzard, just outside of Proofrock, Idaho.Dark Mill South’s Reunion Tour began on December 12th, 2019, a Thursday.Thirty-six hours and twenty bodies later, on Friday the 13th, it would be over.Don’t Fear the Reaper is the page-turning sequel to My Heart Is a Chainsaw from New York Times bestselling author Stephen Graham Jones.",Book 2 in the The Indian Lake Trilogy series,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Adult', 'Audiobook', 'Contemporary']",4.06,8895,1795,"457 pages, Hardcover","First published February 7, 2023"
The Reformatory,['Tananarive Due'],"A gripping, page-turning novel set in Jim Crow Florida that follows Robert Stephens Jr. as he’s sent to a segregated reform school that is a chamber of terrors where he sees the horrors of racism and injustice, for the living, and the dead.Gracetown, FloridaJune 1950Twelve-year-old Robbie Stephens, Jr., is sentenced to six months at the Gracetown School for Boys, a reformatory, for kicking the son of the largest landowner in town in defense of his older sister, Gloria. So begins Robbie’s journey further into the terrors of the Jim Crow South and the very real horror of the school they call The Reformatory.Robbie has a talent for seeing ghosts, or haints. But what was once a comfort to him after the loss of his mother has become a window to the truth of what happens at the reformatory. Boys forced to work to remediate their so-called crimes have gone missing, but the haints Robbie sees hint at worse things. Through his friends Redbone and Blue, Robbie is learning not just the rules but how to survive. Meanwhile, Gloria is rallying every family member and connection in Florida to find a way to get Robbie out before it’s too late.The Reformatory is a haunting work of historical fiction written as only American Book Award–winning author Tananarive Due could, by piecing together the life of the relative her family never spoke of and bringing his tragedy and those of so many others at the infamous Dozier School for Boys to the light in this riveting novel.",,"['Horror', 'Historical Fiction', 'Fiction', 'Historical', 'Thriller', 'Mystery', 'Adult']",4.52,6507,1374,"576 pages, Hardcover","First published October 31, 2023"
Natural Beauty,['Ling Ling Huang'],"Sly, surprising, and razor-sharp, Natural Beauty follows a young musician into an elite, beauty-obsessed world where perfection comes at a staggering cost.Our narrator produces a sound from the piano no one else at the Conservatory can. She employs a technique she learned from her parents—also talented musicians—who fled China in the wake of the Cultural Revolution. But when an accident leaves her parents debilitated, she abandons her future for a job at a high-end beauty and wellness store in New York City. Holistik is known for its remarkable products and procedures—from remoras that suck out cheap Botox to eyelash extensions made of spider silk—and her new job affords her entry into a world of privilege and a long-awaited sense of belonging. She becomes transfixed by Helen, the niece of Holistik’s charismatic owner, and the two strike up a friendship that hazily veers into more. All the while, our narrator is plied with products that slim her thighs, smooth her skin, and lighten her hair. But beneath these creams and tinctures lies something sinister. A piercing, darkly funny debut, Natural Beauty explores questions of consumerism, self-worth, race, and identity—and leaves readers with a shocking and unsettling truth.",,"['Horror', 'Fiction', 'Contemporary', 'Literary Fiction', 'Adult', 'LGBT', 'Thriller']",3.81,8478,1820,"272 pages, Hardcover","First published April 4, 2023"
Sisters of the Lost Nation,['Nick Medina'],"A young Native girl's hunt for answers about the women mysteriously disappearing from her tribe's reservation lead her to delve into the myths and stories of her people, all while being haunted herself, in this atmospheric and stunningly poignant debut.Anna Horn is always looking over her shoulder. For the bullies who torment her, for the entitled visitors at the reservation's casino...and for the nameless, disembodied entity that stalks her every step--an ancient tribal myth come-to-life, one that's intent on devouring her whole.With strange and sinister happenings occurring around the casino, Anna starts to suspect that not all the horrors on the reservation are old. As girls begin to go missing and the tribe scrambles to find answers, Anna struggles with her place on the rez, desperately searching for the key she's sure lies in the legends of her tribe's past.When Anna's own little sister also disappears, she'll do anything to bring Grace home. But the demons plaguing the reservation--both ancient and new--are strong, and sometimes, it's the stories that never get told that are the most important.Part gripping thriller and part mythological horror, author Nick Medina spins an incisive and timely novel of life as an outcast, the cost of forgetting tradition, and the courage it takes to become who you were always meant to be.",,"['Horror', 'Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Fantasy', 'Mythology']",3.89,4801,829,"352 pages, Hardcover","First published April 18, 2023"
Monstrilio,['Gerardo Sámano Córdova'],"A literary horror debut about a boy who transforms into a monster, a monster who tries to be a man, and the people who love him in every form he takes Grieving mother Magos cuts out a piece of her deceased eleven-year-old son Santiago’s lung. Acting on fierce maternal instinct and the dubious logic of an old folktale, she nurtures the lung until it gains sentience, growing into the carnivorous little Monstrilio she keeps hidden within the walls of her family’s decaying Mexico City estate. Eventually, Monstrilio begins to resemble the Santiago he once was, but his innate impulses—though curbed by his biological and chosen family’s communal care—threaten to destroy this fragile second chance at life. A thought-provoking meditation on grief, acceptance, and the monstrous sides of love and loyalty, Gerardo Sámano Córdova blends bold imagination and evocative prose with deep emotional rigor. Told in four acts that span the globe from Brooklyn to Berlin, Monstrilio offers, with uncanny clarity, a cathartic and precise portrait of being human.",,"['Horror', 'Fiction', 'Fantasy', 'Magical Realism', 'LGBT', 'Queer', 'Adult']",4.16,7850,1769,"336 pages, Hardcover","First published March 7, 2023"
Becoming the Boogeyman,['Richard  Chizmar'],"A riveting, haunting sequel to the New York Times bestselling thriller Chasing the Boogeyman—a tale of obsession and the adulation of evil, exploring modern society’s true-crime obsession with unflinching honesty, sparing no one from the glare of the spotlight. Will those involved walk away from the story of a lifetime in order to keep their loved ones safe? Or will they once again be drawn into a killer’s web? As the story draws to its shattering conclusion, only one person holds all the answers—and he just may be the most terrifying monster of them all.",Book 2 in the The Boogeyman series,"['Horror', 'Thriller', 'Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense']",4.18,3569,627,"411 pages, Hardcover","First published October 10, 2023"
Her Little Flowers,['Shannon  Morgan'],"Francine Thwaite has lived all her fifty-five years in her family’s ancestral home, a rambling Elizabethan manor in England’s Lake District. No other living soul resides there, but Francine isn’t alone. There are ghosts in Thwaite Manor, harmless and familiar. Most beloved is Bree, the mischievous ghost girl who has been Francine’s companion since childhood.When Francine’s estranged sister, Madeleine, returns to the manor after years away, she brings with her a story that threatens everything Francine has always believed. It is a tale of cruelty and desperation, of terror and unbearable heartache. And as Francine learns more about the darkness in her family’s past—and the role she may have played in it—she realizes that confronting the truth may mean losing what she holds most dear.",,"['Horror', 'Gothic', 'Mystery', 'Fiction', 'Thriller', 'Paranormal', 'Mystery Thriller']",3.82,2937,517,"368 pages, Paperback","First published July 25, 2023"
Dead Eleven,['Jimmy Juliano'],"On a creepy island where everyone has a strange obsession with the year 1994, a newcomer arrives, hoping to learn the truth about her son's death--but finds herself pulled deeper and deeper into the bizarrely insular community and their complicated rules...Clifford Island. When Willow Stone finds these words written on the floor of her deceased son's bedroom, she's perplexed. She's never heard of it before, but soon learns it's a tiny island off of Wisconsin's Door County peninsula, 200 miles from Willow's home. Why would her son write this on his floor? Determined to find answers, Willow sets out for the island.After a few days on Clifford, Willow realizes: this place is not normal. Everyone seems to be stuck in a particular day in 1994: they wear outdated clothing, avoid modern technology, and, perhaps most mystifyingly, watch the OJ Simpson car chase every evening. When she asks questions, people are evasive, but she learns one thing: close your curtains at night.High schooler Lily Becker has lived on Clifford her entire life, and she is sick of the island's twisted mythology and adhering to the rules. She's been to the mainland, and everyone is normal there, so why is Clifford so weird? Lily is determined to prove that the islanders' beliefs are a sham. But are they?Five weeks after Willow arrives on the island, she disappears. Willow's brother Harper comes to Clifford searching for his sister, and when he learns the truth--that this island is far more sinister than anyone could have imagined--he is determined to blow the whole thing open.If he can get out alive...",,"['Horror', 'Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Adult', 'Paranormal']",3.75,6883,1318,"439 pages, Hardcover","First published June 27, 2023"
Divine Rivals,['Rebecca   Ross'],"When two young rival journalists find love through a magical connection, they must face the depths of hell, in a war among gods, to seal their fate forever.After centuries of sleep, the gods are warring again. But eighteen-year-old Iris Winnow just wants to hold her family together. Her mother is suffering from addiction and her brother is missing from the front lines. Her best bet is to win the columnist promotion at the Oath Gazette.To combat her worries, Iris writes letters to her brother and slips them beneath her wardrobe door, where they vanish—into the hands of Roman Kitt, her cold and handsome rival at the paper. When he anonymously writes Iris back, the two of them forge a connection that will follow Iris all the way to the front lines of battle: for her brother, the fate of mankind, and love.Shadow and Bone meets Lore in Rebecca Ross's Divine Rivals, an epic enemies-to-lovers fantasy novel filled with hope and heartbreak, and the unparalleled power of love.",Book 1 in the Letters of Enchantment series,"['Fantasy', 'Romance', 'Young Adult', 'Fiction', 'Fantasy Romance', 'Historical Fiction', 'Audiobook']",4.26,293374,52635,"357 pages, Hardcover","First published April 4, 2023"
A Curse for True Love,['Stephanie Garber'],"
Two villains, one girl, and a deadly battle for happily ever after.
Evangeline Fox ventured to the Magnificent North in search of her happy ending, and it seems as if she has it. She’s married to a handsome prince and lives in a legendary castle. But Evangeline has no idea of the devastating price she’s paid for this fairytale. She doesn’t know what she has lost, and her husband is determined to make sure she never finds out . . . but first he must kill Jacks, the Prince of Hearts.Blood will be shed, hearts will be stolen, and true love will be put to the test in A Curse for True Love, the breathlessly anticipated conclusion to the Once Upon A Broken Heart trilogy.",Book 3 in the Once Upon a Broken Heart series,"['Fantasy', 'Romance', 'Young Adult', 'Fantasy Romance', 'Fiction', 'Young Adult Fantasy', 'Magic']",4.13,121599,24054,"386 pages, Hardcover","First published October 24, 2023"
Chain of Thorns,['Cassandra Clare'],"James and Cordelia must save London—and their marriage—in this conclusion to the Last Hours series from author Cassandra Clare.Chain of Thorns is a Shadowhunters novel.Cordelia Carstairs has lost everything that matters to her. In only a few short weeks, she has seen her father murdered, her plans to become parabatai with her best friend, Lucie, destroyed, and her marriage to James Herondale crumble before her eyes. Even worse, she is now bound to an ancient demon, Lilith, stripping her of her power as a Shadowhunter.After fleeing to Paris with Matthew Fairchild, Cordelia hopes to forget her sorrows in the city’s glittering nightlife. But reality intrudes when shocking news comes from home: Tatiana Blackthorn has escaped the Adamant Citadel, and London is under new threat by the Prince of Hell, Belial.Cordelia returns to a London riven by chaos and dissent. The long-kept secret that Belial is James and Lucie’s grandfather has been revealed by an unexpected enemy, and the Herondales find themselves under suspicion of dealings with demons. Cordelia longs to protect James but is torn between a love for James she has long believed hopeless, and the possibility of a new life with Matthew. Nor can her friends help—ripped apart by their own secrets, they seem destined to face what is coming alone.For time is short, and Belial’s plan is about to crash into the Shadowhunters of London like a deadly wave, one that will separate Cordelia, Lucie, and the Merry Thieves from help of any kind. Left alone in a shadowy London, they must face Belial’s deadly army. If Cordelia and her friends are going to save their city—and their families—they will have to muster their courage, swallow their pride, and trust one another again. For if they fail, they may lose everything—even their souls.",Book 3 in the The Last Hours series,"['Fantasy', 'Young Adult', 'Romance', 'Historical Fiction', 'Paranormal', 'Young Adult Fantasy', 'Urban Fantasy']",4.05,43805,7897,"778 pages, Hardcover","First published January 31, 2023"
Powerless,['Lauren  Roberts'],"She is the very thing he’s spent his whole life hunting.He is the very thing she’s spent her whole life pretending to be.Only the extraordinary belong in the kingdom of Ilya—the exceptional, the empowered, the Elites.The powers these Elites have possessed for decades were graciously gifted to them by the Plague, though not all were fortunate enough to both survive the sickness and reap the reward. Those born Ordinary are just that—ordinary. And when the king decreed that all Ordinaries be banished in order to preserve his Elite society, lacking an ability suddenly became a crime—making Paedyn Gray a felon by fate and a thief by necessity.Surviving in the slums as an Ordinary is no simple task, and Paedyn knows this better than most. Having been trained by her father to be overly observant since she was a child, Paedyn poses as a Psychic in the crowded city, blending in with the Elites as best she can in order to stay alive and out of trouble. Easier said than done.When Paeydn unsuspectingly saves one of Ilyas princes, she finds herself thrown into the Purging Trials. The brutal competition exists to showcase the Elites’ powers—the very thing Paedyn lacks. If the Trials and the opponents within them don’t kill her, the prince she’s fighting feelings for certainly will if he discovers what she is—completely Ordinary.",Book 1 in the The Powerless Trilogy series,"['Fantasy', 'Romance', 'Fantasy Romance', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'Dystopia']",4.31,92960,19683,"523 pages, Hardcover","First published January 31, 2023"
